Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,FRS1,462.562500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
2,FRS2,462.587500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
3,FRS3,462.612500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
4,FRS4,462.637500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
5,FRS5,462.662500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
6,FRS6,462.687500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
7,FRS7,462.712500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
8,FRS8,467.562500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
9,FRS9,467.587500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
10,FRS10,467.612500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
11,FRS11,467.637500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
12,FRS12,467.662500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
13,FRS13,467.687500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
14,FRS14,467.712500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
15,GMRS1,462.550000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
16,GMRS2,462.575000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
17,GMRS3,462.600000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
18,GMRS4,462.625000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
19,GMRS5,462.650000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
20,GMRS6,462.675000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
21,GMRS7,462.700000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
22,GMRS8,462.725000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
23,MURS 1,151.820000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
24,MURS 2,151.880000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
25,MURS 3,151.940000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
26,BLUE DO,154.570000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
27,GREEN D,154.600000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
28,VHF 05,160.850000,-,4.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
29,VHF 09,156.450000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
30,VHF 16,156.800000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
31,VHF 68,156.425000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
32,VHF 69,156.475000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
33,DSC 70,156.525000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
